day,nodes,edges
1,1963,16346
2,2100,15019
3,1907,15316
4,1868,13274
5,1827,15337
6,1891,14612
7,1991,14454
8,1880,14619
9,1912,16082
10,1743,14643
11,1811,12486
12,1833,14447
13,1786,14597
14,1732,13144
15,1777,11805
16,1785,13474
17,1624,12239
18,1731,12888
19,1658,14883
20,1537,10589
21,1572,11405
22,1641,13685
23,1632,13178
24,1618,11773
25,1541,8277
26,1373,7957
27,1501,9341
28,1512,8869
29,1408,7587
30,1512,8468
