hour,attacks,messages,trades,total
0,670,459,400,1529
1,651,276,290,1217
2,569,501,262,1332
3,670,485,327,1482
4,794,546,367,1707
5,918,570,345,1833
6,963,252,326,1541
7,1019,307,423,1749
8,953,685,409,2047
9,683,21,244,948
10,428,162,159,749
11,876,300,160,1336
12,1079,659,310,2048
13,1229,820,331,2380
14,1210,412,351,1973
15,1407,755,405,2567
16,1241,553,456,2250
17,1256,793,421,2470
18,1362,698,545,2605
19,1355,815,356,2526
20,1326,908,321,2555
21,1098,990,410,2498
22,1158,698,475,2331
23,968,609,452,2029
