day,nodes,edges
1,1336,9390
2,1314,8710
3,1285,8667
4,1231,8545
5,1254,9499
6,1286,9799
7,1295,9638
8,1253,8806
9,1268,8698
10,1248,8921
11,1205,9008
12,1145,9310
13,1213,9298
14,1235,9834
15,1199,10175
16,1146,9866
17,1168,9884
18,1147,9008
19,1099,8624
20,1045,8314
21,1010,8443
22,1022,8981
23,1013,8062
24,986,8659
25,992,8054
26,964,8436
27,1001,9062
28,1017,8665
29,991,8606
30,967,8521
