day,density,reciprocity
1.0,0.12159709618874773,0.2736318407960199
2.0,0.0897136177673875,0.3713355048859935
3.0,0.0701344243132671,0.375
4.0,0.0891291642314436,0.36065573770491804
5.0,0.08796025715955581,0.2857142857142857
6.0,0.03569267997580157,0.423728813559322
7.0,0.0868118572292801,0.2578397212543554
8.0,0.08287961282516637,0.24087591240875914
9.0,0.0955837870538415,0.31645569620253167
10.0,0.08802177858439202,0.3024054982817869
11.0,0.050816696914700546,0.32142857142857145
12.0,0.04646405610753945,0.2389937106918239
13.0,0.030976037405026302,0.41509433962264153
14.0,0.011299435028248588,0.65
15.0,0.043785310734463276,0.24516129032258063
16.0,0.06327683615819209,0.26785714285714285
17.0,0.08220338983050847,0.21993127147766323
18.0,0.09632768361581921,0.22287390029325513
19.0,0.0807909604519774,0.20279720279720279
20.0,0.031560490940970194,0.35185185185185186
21.0,0.04412624196376388,0.2781456953642384
22.0,0.04658197217180883,0.24675324675324675
23.0,0.04627949183303085,0.23529411764705882
24.0,0.029945553539019964,0.40404040404040403
25.0,0.02661826981246219,0.3409090909090909
26.0,0.024803387779794312,0.24390243902439024
27.0,0.043834015195791935,0.24
28.0,0.06019871420222092,0.24271844660194175
29.0,0.03798947983635301,0.6
30.0,0.04627949183303085,0.24836601307189543
