node,in-degree,out-degree,edge-count,closeness,betweenness,pagerank
1688,7.0,1.0,8.0,0.1823067383216205,9.74089226573154e-05,0.010768774642063661
5559,6.0,0.0,6.0,0.1992390176409547,0.0,0.013967982755525533
4323,7.0,3.0,10.0,0.186864406779661,0.03370348723943113,0.04241369133823977
3645,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
5263,6.0,1.0,7.0,0.17833456153279292,0.0,0.05608813351857361
2141,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
5028,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
9521,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
7756,6.0,1.0,7.0,0.19076812116840966,0.0,0.05608813351857359
3621,9.0,4.0,13.0,0.1823067383216205,0.0,0.01653273540945533
6091,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
3846,6.0,0.0,6.0,0.18229755178907722,0.0,0.010779167497770671
4633,7.0,4.0,11.0,0.16987673343605547,0.000974089226573154,0.009523185357247409
3747,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
3522,7.0,4.0,11.0,0.16987673343605547,0.0,0.011099389479857133
6193,36.0,207.0,243.0,0.24111536358665936,0.1839323982076758,0.07798086857626496
6129,6.0,2.0,8.0,0.16987673343605547,0.0,0.008751564008105301
4799,21.0,15.0,36.0,0.186864406779661,0.002289109682446912,0.026417697680022487
5458,6.0,1.0,7.0,0.19076812116840966,0.0,0.0560881335185736
6730,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
3218,9.0,6.0,15.0,0.19076812116840966,0.0002922267679719462,0.039156396420754414
1558,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
5095,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
7889,8.0,3.0,11.0,0.1738273551438707,0.0,0.012004095676310328
4118,5.0,1.0,6.0,0.16987673343605547,0.0,0.008420491743484488
3134,19.0,18.0,37.0,0.19669937555753794,0.03903662575491915,0.042945735371863365
9450,7.0,3.0,10.0,0.16987673343605547,0.0,0.009060935707657414
4258,8.0,1.0,9.0,0.19165580182529335,0.017704071692967074,0.03961355835720985
5670,10.0,61.0,71.0,0.17796610169491525,0.09076076368595364,0.02375867856130172
3957,7.0,2.0,9.0,0.16987673343605547,9.74089226573154e-05,0.015201535723137894
5513,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
7255,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
1673,5.0,1.0,6.0,0.17796610169491525,0.0,0.008420491743484488
5301,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
9293,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
3302,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
5201,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
9700,6.0,2.0,8.0,0.16987673343605547,9.74089226573154e-05,0.008740713725570951
5018,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
2292,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
2855,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
3753,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
4496,8.0,3.0,11.0,0.1823067383216205,0.0,0.014504674492962619
5351,6.0,0.0,6.0,0.1907765076862436,0.0,0.0104485526599772
2049,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
3822,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
1376,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
2251,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
4657,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
7005,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
4867,7.0,4.0,11.0,0.186864406779661,0.0450759789596727,0.013849798323572483
1121,7.0,2.0,9.0,0.1738273551438707,0.01507403078121956,0.010237764759887585
7648,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
5681,10.0,4.0,14.0,0.19076812116840966,0.0,0.036157946803689715
7428,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
4622,25.0,77.0,102.0,0.19669937555753794,0.04619618157023183,0.04994392858084331
5563,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
9861,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
3539,5.0,0.0,5.0,0.17833456153279292,0.0,0.008420491743484488
4938,5.0,1.0,6.0,0.16987673343605547,9.74089226573154e-05,0.008420491743484488
