alliance_name,density,reciprocity
alliance2,0.003137254901960784,0.75
alliance4,0.01818181818181818,1.0
alliance5,0.004091174751607247,0.8571428571428571
alliance8,0.012903225806451613,0.3333333333333333
alliance9,0.03411764705882353,0.5747126436781609
alliance10,0.0661764705882353,0.5555555555555556
alliance12,0.0,0.0
alliance16,0.00548780487804878,0.4444444444444444
alliance23,0.02463768115942029,0.43137254901960786
alliance24,0.03939393939393939,0.6153846153846154
alliance28,0.02666666666666667,0.4117647058823529
alliance30,0.0,0.0
alliance31,0.005494505494505495,0.0
alliance35,0.0032679738562091504,0.0
alliance36,0.060455192034139404,0.23529411764705882
alliance38,0.03915838690824079,0.31343283582089554
alliance42,0.031007751937984496,0.39285714285714285
alliance43,0.10783167738164816,0.3252032520325203
alliance44,0.06046365914786967,0.5181347150259067
alliance45,0.13692307692307693,0.47191011235955055
alliance51,0.022040816326530613,0.2962962962962963
alliance54,0.015151515151515152,0.0
alliance57,0.03142857142857143,0.3116883116883117
alliance59,0.05735492577597841,0.25882352941176473
alliance73,0.06778476589797344,0.5773195876288659
alliance81,0.041501976284584984,0.19047619047619047
alliance82,0.013546798029556651,0.9090909090909091
alliance83,0.01098901098901099,1.0
alliance84,0.04,0.25
alliance103,0.07890122735242548,0.23703703703703705
alliance108,0.0,0.0
alliance117,0.039965986394557826,0.7021276595744681
alliance123,0.01816911250873515,0.6153846153846154
alliance135,0.0,0.0
alliance137,0.0,0.0
alliance142,0.003676470588235294,0.0
alliance144,0.018518518518518517,0.8571428571428571
alliance146,0.07397504456327986,0.3373493975903614
alliance147,0.08470588235294117,0.3425925925925926
alliance152,0.09252539912917271,0.32941176470588235
alliance164,0.0012315270935960591,0.0
alliance185,0.0,0.0
alliance186,0.03816425120772947,0.5569620253164557
alliance199,0.03753753753753754,0.84
alliance235,0.07777777777777778,0.5714285714285714
alliance254,0.0,0.0
alliance287,0.11538461538461539,0.1111111111111111
alliance290,0.0,0.0
alliance305,0.015151515151515152,1.0
alliance312,0.03535353535353535,0.37142857142857144
alliance320,0.1987179487179487,0.6451612903225806
