day,zero_percentage
1.0,0.1527777777777778
2.0,0.19117647058823528
3.0,0.208955223880597
4.0,0.19117647058823528
5.0,0.19402985074626866
6.0,0.21212121212121213
7.0,0.1774193548387097
8.0,0.21311475409836064
9.0,0.1864406779661017
10.0,0.15789473684210525
11.0,0.10714285714285714
12.0,0.14285714285714285
13.0,0.10714285714285714
14.0,0.16666666666666666
15.0,0.1346153846153846
16.0,0.15384615384615385
17.0,0.1568627450980392
18.0,0.17647058823529413
19.0,0.12
20.0,0.17647058823529413
21.0,0.14
22.0,0.08163265306122448
23.0,0.13725490196078433
24.0,0.16
25.0,0.17647058823529413
26.0,0.1320754716981132
27.0,0.1320754716981132
28.0,0.09615384615384616
29.0,0.11764705882352941
30.0,0.14285714285714285
