node,betweenness,PageRank
4377,0.0007197412419141946,0.00014419215315597945
10065,0.0,0.0003501749860463514
2061,0.0,0.0003735053174555801
7221,0.0,0.00033716138304583376
12114,0.0,0.00015087488443750065
9864,0.0,0.0002255293286334471
7854,0.0,0.00019547096049239075
11990,0.0,0.00018157870315685384
11035,0.0,0.00017476358766553904
11454,7.072331634254564e-05,0.0006103771142465239
11850,0.0,0.00028034510311993565
1366,0.0,0.000792170027117132
10796,0.0,0.0001910584772417768
3764,0.0,0.00028707059870019104
11933,0.0,0.00039097294444194914
4230,0.0,0.00015407784397492453
12086,0.00016896893221076244,0.00039272848811259685
5120,0.0,0.0002556167513101692
10907,0.0,0.0001720309137307407
9978,0.0,0.00015793702204224854
12066,5.163435065567146e-05,0.00016634957316919637
11792,0.0,0.0002046214860895937
5279,0.0,0.00041513812349618453
10478,0.0,0.00016235593924270034
2747,4.830221137214376e-05,0.00025320177284705056
2699,0.0004193258956845297,0.0005217501537239394
2247,0.0010247092193167288,0.0004925284281468692
12018,0.0,0.00041993200105719007
3316,0.0,0.000522348504928503
12024,5.6112044240703576e-05,0.00027702158099002125
3571,0.0,0.00015613596563554508
5619,0.0,0.00014986058373142862
11058,0.0,0.0001455542791278533
10493,0.0,0.00014685177782976482
11413,0.0,0.0001410748923392851
11351,0.0,0.00016020726001295536
3918,0.0,0.00013811969141347996
11443,0.0,0.00015147685342750659
11708,0.0,0.00016189499324892293
11084,0.0,0.00014541172432585222
11061,0.0,0.000141386032821928
2498,0.0,0.00014881041682439724
10887,0.0,0.00014626925467971287
2764,0.0,0.00014609750241929137
11984,0.0,0.00021242530197938535
10672,0.0,0.00014139090391349868
11352,0.0,0.000161402530049269
9602,0.0,0.00014891531457316378
11861,0.0,0.00014088348997350362
11842,0.0,0.0001373594807305526
10826,0.0,0.000143490887875345
3191,0.0,0.00014266709061374022
10922,0.0,0.00015164590408949855
12008,0.0,0.0002050688396221717
10984,0.0,0.00014351609240342763
11810,0.0,0.000140404543998686
11932,0.0,0.00018118661187666453
10012,0.0,0.000148605398670605
11174,0.0,0.00016064462609282162
9024,0.0,0.00018743598457101107
11843,0.0,0.00014722462895227614
11801,0.0,0.00025674061222984
10942,0.0,0.0001443060297053633
11866,0.0,0.0002807457713763642
11387,0.0,0.00014233816736675678
2808,0.0,0.00015805057782642868
9529,0.0,0.00018047016807781324
10915,0.0,0.0001419713829981845
11642,0.0,0.0001403346995615224
10219,0.0,0.0001412100756704898
11723,0.0,0.00020461084204277024
4239,0.0,0.00014261637786027273
10911,0.0,0.00015420979000724827
11857,0.0,0.0001656848083559702
11785,0.0,0.0001415061006379421
10901,0.0,0.00024865583976832435
12507,0.0,0.00013782478893768484
12340,0.0,0.00014858512262381108
6925,0.0,0.0001533124246979034
12058,0.0,0.00015386507933214629
12041,0.0,0.0001373852615310784
11924,0.0,0.00014708202882447705
12016,0.0,0.00023997486738396733
12440,0.0,0.00013691935728103686
3215,0.000815948836408184,0.00013694261117669333
3055,4.4015890386316155e-05,0.00014050481136764737
11452,5.630086777700124e-05,0.0006508088553067469
11996,0.0,0.0003186422361543938
9508,7.921317751476649e-05,0.0002540991948824677
10445,0.0,0.00014630305850440667
11318,0.0003640567178328008,0.00015231916040564793
7172,0.0,0.0005783696908472326
11433,0.0,0.00014256480448365225
1552,0.0,0.0005636669847911192
6184,0.0,0.0006526391375500763
1550,0.0,0.0005421894769649218
8481,0.0,0.0002666847764104985
6381,0.0,0.00020096088625834452
11367,0.0,0.00032423248421210567
6334,0.0,0.00014598784225404888
11234,0.0002850409847074533,0.00015465038841825827
6343,0.0,0.0001600337462505918
3567,0.0,0.0001886465911042947
1456,0.0,0.0008381834305659479
3917,0.0,0.00015119618194759293
6207,0.0,0.00016117691180598381
7768,0.0,0.0002583475252106971
1905,0.0,0.00017132764154363585
4922,0.0,0.00033710230434408556
7691,0.0,0.0003531465735064405
5180,0.0,0.0006181698119825989
3298,0.0,0.0004564900424386207
6170,0.0,0.00014997941909005198
9022,0.0,0.0005932634593954066
400,0.0007328616837292987,0.00036657317923559325
11674,0.0,0.00023029169328827502
139,0.0,0.000547910290862147
5217,3.9920177515412326e-05,0.000629277036940321
3642,0.0,0.0006588602103838757
9206,0.0010380743767332903,0.0003573131267818385
5768,0.00043368649118786715,0.0012239067675919332
5851,0.001665159941529861,0.00048294260042474046
11411,0.0,0.0003796511587972056
11363,0.0,0.0002093689231550081
361,0.0,0.00024082697095741725
9152,0.0,0.00016830604255620938
6577,0.000773558352477794,0.0007511723133579064
11365,0.0,0.00029029569763758056
8624,0.0005844550363368829,0.0001772714946528328
4172,0.0004743571138833285,0.0006862557739296362
2048,0.0,0.00021099505546047457
10833,0.0,0.00024209160403345959
1343,0.0,0.00016059438518234564
3746,0.0,0.00017011587290787303
5624,0.0,0.00015237688908113794
11490,0.0,0.0001386057825210104
5564,0.0,0.0001629326769318509
8012,0.0,0.0001410313465842472
9591,0.0,0.00014838346315682393
6095,0.0,0.00015988044661727994
5867,0.0,0.00023807702468401192
5470,0.0,0.00014588423819133166
10191,0.0,0.0003048099743600469
7029,0.0,0.00016132085802146614
1499,0.0012145881489610754,0.0003070871154358046
8892,0.0,0.00019317453057560938
7545,0.0,0.00014303941212147475
9691,0.0,0.00013994885415484455
10257,0.0,0.00014068686214355146
1455,0.0,0.00015326467002298297
6194,0.0,0.00015352539909207601
4319,0.0,0.00014110998407797134
9088,0.0,0.0001489262776661806
8654,0.0,0.00014217114691040286
6730,0.0031349763599530264,0.00015702456171043733
6269,0.0,0.000493223963057104
968,0.0,0.00020645495751386885
102,0.0,0.00038049769757867255
9376,0.0,0.0003045686252873311
2465,0.0,0.0003982381336310871
4649,0.0010633387865069646,0.0003522137285557111
11496,0.0,0.00038749245673185174
6348,3.6294780531167106e-05,0.0005293394768889544
10461,0.004398875741609918,0.00014125434812555
6784,0.0,0.000695602245302489
4730,0.0,0.00016697285124312743
316,0.0,0.0003893183312031615
1671,0.0004307271534300802,0.00013767590562839595
9621,0.001058991518368114,0.00017895284168511233
12272,0.0,0.0005549447073178106
12441,3.380881109576933e-05,0.0005522975392872692
11355,0.0,0.0003601795273321444
3825,0.0,0.0004517277888383174
12250,3.587921069615438e-05,0.00015136613931277995
9834,0.0007390675566737637,0.00015867194699396842
12342,1.3415038952488134e-06,0.00015192061582809156
