node,in-degree,out-degree,edge-count
5201,167.0,10.0,177.0
5351,267.0,161.0,428.0
5220,43.0,10.0,53.0
9861,269.0,165.0,434.0
7756,258.0,168.0,426.0
5563,163.0,6.0,169.0
5559,218.0,62.0,280.0
5513,167.0,6.0,173.0
6957,433.0,205.0,638.0
3190,229.0,146.0,375.0
1606,223.0,109.0,332.0
7336,139.0,132.0,271.0
375,187.0,54.0,241.0
95,158.0,22.0,180.0
330,158.0,55.0,213.0
188,154.0,23.0,177.0
425,145.0,18.0,163.0
6221,333.0,1150.0,1483.0
2171,147.0,12.0,159.0
2170,238.0,124.0,362.0
8040,187.0,36.0,223.0
8013,467.0,837.0,1304.0
3069,46.0,61.0,107.0
45,295.0,179.0,474.0
9762,186.0,37.0,223.0
3959,150.0,17.0,167.0
3963,159.0,22.0,181.0
2349,127.0,11.0,138.0
1531,303.0,168.0,471.0
5946,237.0,109.0,346.0
3703,160.0,23.0,183.0
1476,194.0,295.0,489.0
4766,141.0,0.0,141.0
3490,219.0,108.0,327.0
1389,162.0,37.0,199.0
5353,1077.0,1376.0,2453.0
2819,173.0,42.0,215.0
3599,249.0,389.0,638.0
1321,130.0,16.0,146.0
2887,211.0,96.0,307.0
2960,169.0,48.0,217.0
4949,160.0,24.0,184.0
4928,176.0,36.0,212.0
8939,153.0,19.0,172.0
8816,170.0,25.0,195.0
4312,190.0,43.0,233.0
3196,172.0,16.0,188.0
4603,244.0,117.0,361.0
4681,173.0,33.0,206.0
7664,150.0,11.0,161.0
3047,357.0,215.0,572.0
8628,162.0,17.0,179.0
8603,382.0,857.0,1239.0
8548,205.0,60.0,265.0
6311,673.0,595.0,1268.0
9150,533.0,383.0,916.0
6222,364.0,192.0,556.0
7017,319.0,251.0,570.0
4171,899.0,4494.0,5393.0
3279,242.0,508.0,750.0
6164,279.0,950.0,1229.0
5000,174.0,18.0,192.0
8235,208.0,622.0,830.0
3584,136.0,19.0,155.0
6099,147.0,4.0,151.0
7119,150.0,11.0,161.0
4099,140.0,3.0,143.0
4053,179.0,51.0,230.0
9462,182.0,43.0,225.0
6003,160.0,19.0,179.0
5059,190.0,85.0,275.0
6686,180.0,40.0,220.0
5140,333.0,169.0,502.0
5254,162.0,32.0,194.0
5243,170.0,38.0,208.0
5282,161.0,31.0,192.0
6475,152.0,11.0,163.0
6803,170.0,75.0,245.0
6818,161.0,55.0,216.0
5407,142.0,4.0,146.0
5320,118.0,1.0,119.0
6725,135.0,17.0,152.0
5536,174.0,29.0,203.0
6655,244.0,140.0,384.0
7814,146.0,9.0,155.0
4146,120.0,3.0,123.0
5450,135.0,21.0,156.0
5416,136.0,19.0,155.0
5908,162.0,24.0,186.0
5912,233.0,162.0,395.0
1791,169.0,32.0,201.0
1918,175.0,34.0,209.0
2982,283.0,183.0,466.0
9541,97.0,60.0,157.0
3978,158.0,256.0,414.0
4496,212.0,61.0,273.0
7648,238.0,98.0,336.0
1121,249.0,127.0,376.0
3621,271.0,139.0,410.0
2292,166.0,24.0,190.0
6037,103.0,12.0,115.0
822,58.0,6.0,64.0
4836,113.0,63.0,176.0
4844,316.0,131.0,447.0
2478,88.0,4.0,92.0
339,37.0,4.0,41.0
326,350.0,214.0,564.0
321,99.0,21.0,120.0
2626,185.0,67.0,252.0
9188,157.0,32.0,189.0
4584,54.0,14.0,68.0
9573,232.0,202.0,434.0
9648,160.0,22.0,182.0
7122,148.0,26.0,174.0
8230,57.0,6.0,63.0
8693,333.0,335.0,668.0
6355,143.0,28.0,171.0
6248,69.0,8.0,77.0
1451,256.0,113.0,369.0
29,64.0,12.0,76.0
15,92.0,27.0,119.0
73,40.0,4.0,44.0
173,97.0,66.0,163.0
7366,218.0,136.0,354.0
