measure,attacks,messages,trades,all
nodes,4418,3092,2648,4612
edges,632391,380794,269483,1282668
diameter,17,9,10
average number of neighbors,3.9842650081570854,43.51462898282338,89.88646930402851,
reciprocity,0.03928894927536232,0.7039081377047727,0.9381659187665401,
