node,betweenness,PageRank
2543,0.0018567476916355368,0.0010604011736431622
2897,0.00023119491025131567,0.0005487470477969329
2885,0.0013935789876244591,0.001111143986267742
4891,2.251693300623787e-05,0.00034968880265401076
2258,0.0005822490319688823,0.0007037792462490834
2145,0.00395839571076228,0.001903039959111376
1074,0.0005866567844179832,0.0003250975869361421
7518,0.021167983223611825,0.0017450183492301844
1313,0.00879447758915081,0.0006837065123450801
2891,0.012019184484455322,0.007423432192164044
4238,0.010388446831408623,0.0019102165229345374
3372,0.011300845384526654,0.0011535748882597868
151,0.0008780742855740547,0.0016187279089984502
4370,0.015905691753494062,0.002800880676274661
687,0.0009747742762076134,0.0004607464963712592
5574,0.008680280124219841,0.0026041439177876364
4384,0.03475129985403396,0.0009432341674066579
4,0.005320632131758454,0.0006903845649031999
2115,0.0025779594883196966,0.0013951667706578273
2457,0.0033783923912988102,0.0004386966454218363
5053,0.00010513366996196573,0.00036677750207990694
1312,0.00016269807592321107,0.00044604750495855726
753,0.0024754122407269303,0.0010617363500124287
3528,0.0013086924752267592,0.0010818194435210436
3747,0.0025119844030576386,0.0006250671526615564
1124,0.0005086202332243036,0.0005113846088867563
9706,0.009370619971186161,0.0013446800306417405
945,0.006340827720614276,0.001767828422255056
1804,0.002830497161254569,0.0017489892312473603
930,0.0015041926228541865,0.0005009882149380385
1342,0.0001298276013321746,0.00020448582718924854
4633,0.003604052641234807,0.001083230215461027
4657,0.0017336318695595984,0.0006444648017262366
6193,0.011532754436008303,0.0022908956129273155
9616,0.00017803511187204169,0.0002056222887780573
1499,0.0017678364756184793,0.0003023864284895119
3134,0.009087081014318661,0.0014268866851198778
7428,0.0008057386010130708,0.000677584734228038
1271,0.0016982408572806256,0.0008925138612894232
1925,0.0012239202285501101,0.0019013162229032964
8561,0.022218164290124374,0.0008402979630368686
1324,0.0017510476541993153,0.001065609839327676
6730,0.0008249339647660485,0.0007323042217794174
3429,1.0867758257969486e-05,0.00025706060018762446
2331,0.0003339543140390574,0.0019131098561071098
2650,0.0014130096932324725,0.0003628578847686664
2682,0.005759205380110624,0.0014760343732559468
3645,0.003612373787679865,0.0003285154410270217
557,0.00025009663785817925,0.0011432539628772067
5181,0.00043368087380594506,0.0010670234287549886
4504,0.0012627862651918243,0.0005844255746752477
7663,0.001885528330586947,0.0001964939694492509
2144,0.00016566865280411635,0.0002582956853263793
1148,0.00024850470983805165,0.0003725330174777679
3522,0.0016090326266356711,0.001229428544345277
3822,0.00027148094505257775,0.0002815977698568123
1909,0.00047431825439399604,0.0005013049838013924
3712,0.0013650124404365025,0.0006925180695950633
1222,0.0024804154170032272,0.0006213062928230212
1096,0.0010624047941421347,0.000569146314315418
140,0.0004620998136558121,0.0008979188106466587
1485,0.0,5.860921425040825e-05
2216,0.003006586942915077,0.001101299768373697
2230,0.0009361595627563988,0.0003885561881435287
4357,0.0011623676647224308,0.0002828639045323901
3165,0.0017285937307437963,0.0009458152531776393
7576,0.00037743764549665325,0.00047615963317377825
1323,0.0004076423018211324,0.0003807039454102859
1376,0.003631542845775242,0.0011111442285049247
8135,0.0009363068638567239,0.00047092706116679873
5614,0.001766037900622353,0.0011308253949575487
6198,0.006248989833065823,0.0007842799226186082
6795,0.0,0.00031913735106448314
7446,0.0003765485130477691,0.0003988920214610758
5125,0.0008525843678142945,0.00042210958304135477
5458,0.011888110454871984,0.0010478122616471401
5095,0.0010652558702529372,0.0003867313145875173
7889,0.006927233482239828,0.002056312103419857
2276,7.672126831387628e-05,0.0001792773908134827
5670,0.002717950238729618,0.0005724745843869527
1669,0.001859220257490567,0.0008530800286278316
10461,0.004262198581174873,0.0012490928728261519
521,0.0016854269395097973,0.00047193643617722515
2083,0.0026295035858463454,0.0008943543853459472
1026,0.009614517313734491,0.003091092908556662
6276,0.0061336927811673604,0.003512857363897075
608,0.00023477121718952257,0.00018883210604622914
978,0.0010595127131083602,0.000507901375938675
