node,in-degree,out-degree,edge-count
1288,1634.0,0.0,1634.0
2090,24.0,0.0,24.0
7197,119.0,0.0,119.0
2989,198.0,0.0,198.0
2180,201.0,4.0,205.0
6703,396.0,6.0,402.0
7233,479.0,0.0,479.0
7698,68.0,5.0,73.0
2600,50.0,0.0,50.0
2632,70.0,0.0,70.0
5793,337.0,0.0,337.0
2387,128.0,10.0,138.0
673,234.0,0.0,234.0
6822,375.0,36.0,411.0
3180,335.0,22.0,357.0
3527,2.0,31.0,33.0
5928,778.0,0.0,778.0
1451,476.0,35.0,511.0
6492,335.0,3.0,338.0
9215,33.0,73.0,106.0
4911,136.0,17.0,153.0
5151,373.0,0.0,373.0
4376,1377.0,0.0,1377.0
1439,665.0,0.0,665.0
1234,1150.0,0.0,1150.0
4510,6.0,889.0,895.0
5695,188.0,0.0,188.0
3673,135.0,0.0,135.0
6237,6.0,85.0,91.0
4329,219.0,2.0,221.0
4736,20.0,0.0,20.0
7353,1249.0,0.0,1249.0
5007,501.0,0.0,501.0
167,113.0,16.0,129.0
5913,136.0,0.0,136.0
11173,48.0,1.0,49.0
11538,46.0,0.0,46.0
11576,30.0,9.0,39.0
11156,17.0,3.0,20.0
5666,4.0,297.0,301.0
702,930.0,0.0,930.0
12421,13.0,7.0,20.0
11715,104.0,50.0,154.0
11713,13.0,0.0,13.0
7868,613.0,0.0,613.0
12345,45.0,4.0,49.0
12128,20.0,60.0,80.0
4999,319.0,9.0,328.0
2805,24.0,17.0,41.0
12581,7.0,0.0,7.0
7518,57.0,37416.0,37473.0
5916,353.0,0.0,353.0
10606,349.0,0.0,349.0
2871,986.0,0.0,986.0
1075,443.0,0.0,443.0
11929,160.0,0.0,160.0
826,639.0,0.0,639.0
11851,187.0,0.0,187.0
11636,129.0,11.0,140.0
7345,639.0,0.0,639.0
10820,558.0,0.0,558.0
5226,123.0,0.0,123.0
7222,433.0,0.0,433.0
6500,703.0,0.0,703.0
6598,553.0,0.0,553.0
10657,62.0,48.0,110.0
1256,99.0,0.0,99.0
8180,274.0,0.0,274.0
11354,164.0,0.0,164.0
200,108.0,0.0,108.0
6341,405.0,0.0,405.0
10433,334.0,0.0,334.0
6620,473.0,0.0,473.0
718,1540.0,0.0,1540.0
5576,104.0,0.0,104.0
10225,291.0,0.0,291.0
956,1257.0,0.0,1257.0
9887,169.0,0.0,169.0
11274,12.0,9.0,21.0
1283,450.0,0.0,450.0
1112,287.0,0.0,287.0
10340,331.0,21.0,352.0
12060,64.0,106.0,170.0
11661,379.0,0.0,379.0
5573,336.0,0.0,336.0
9838,290.0,0.0,290.0
1686,599.0,0.0,599.0
6181,183.0,6.0,189.0
9179,590.0,0.0,590.0
3729,89.0,0.0,89.0
772,594.0,0.0,594.0
3693,258.0,0.0,258.0
8602,341.0,0.0,341.0
9959,106.0,0.0,106.0
929,158.0,0.0,158.0
6186,215.0,0.0,215.0
6358,266.0,0.0,266.0
7153,114.0,19.0,133.0
6247,626.0,0.0,626.0
11684,102.0,41.0,143.0
3262,308.0,0.0,308.0
7484,343.0,0.0,343.0
8019,629.0,0.0,629.0
6327,241.0,0.0,241.0
677,827.0,0.0,827.0
11675,96.0,0.0,96.0
7607,388.0,0.0,388.0
469,353.0,0.0,353.0
3806,521.0,0.0,521.0
10130,305.0,0.0,305.0
2471,908.0,0.0,908.0
3440,130.0,0.0,130.0
11807,128.0,0.0,128.0
4760,492.0,0.0,492.0
7595,170.0,4.0,174.0
4930,750.0,0.0,750.0
9032,219.0,0.0,219.0
634,473.0,0.0,473.0
11919,185.0,2.0,187.0
2431,1808.0,0.0,1808.0
1178,519.0,0.0,519.0
7563,139.0,0.0,139.0
9792,707.0,0.0,707.0
8364,860.0,0.0,860.0
1275,1282.0,0.0,1282.0
12116,106.0,0.0,106.0
1718,363.0,0.0,363.0
9541,127.0,131.0,258.0
3660,1040.0,6.0,1046.0
9009,51.0,4.0,55.0
9748,287.0,0.0,287.0
3504,1943.0,0.0,1943.0
816,1381.0,0.0,1381.0
2330,131.0,0.0,131.0
6761,506.0,0.0,506.0
1099,574.0,0.0,574.0
7175,851.0,0.0,851.0
12082,206.0,0.0,206.0
2778,27.0,20.0,47.0
2299,743.0,0.0,743.0
11242,164.0,5.0,169.0
4365,209.0,0.0,209.0
2199,1444.0,0.0,1444.0
2986,699.0,0.0,699.0
5443,383.0,0.0,383.0
3759,556.0,0.0,556.0
11132,144.0,0.0,144.0
9203,1442.0,0.0,1442.0
6965,689.0,0.0,689.0
10976,41.0,0.0,41.0
12103,1.0,0.0,1.0
8119,706.0,0.0,706.0
3072,549.0,0.0,549.0
861,777.0,0.0,777.0
331,358.0,0.0,358.0
1971,445.0,0.0,445.0
4577,263.0,0.0,263.0
6062,380.0,0.0,380.0
7071,128.0,13.0,141.0
2627,592.0,0.0,592.0
9957,127.0,0.0,127.0
11691,178.0,0.0,178.0
4004,194.0,0.0,194.0
810,441.0,0.0,441.0
4507,135.0,0.0,135.0
1452,297.0,0.0,297.0
322,454.0,0.0,454.0
4981,249.0,0.0,249.0
11295,140.0,0.0,140.0
10941,323.0,0.0,323.0
3351,403.0,0.0,403.0
11328,54.0,0.0,54.0
3641,83.0,0.0,83.0
8807,232.0,0.0,232.0
2210,464.0,0.0,464.0
9848,614.0,0.0,614.0
2866,253.0,0.0,253.0
59,62.0,0.0,62.0
9597,699.0,1.0,700.0
6912,628.0,0.0,628.0
9261,107.0,49.0,156.0
10405,247.0,0.0,247.0
3780,53.0,28.0,81.0
3175,43.0,156.0,199.0
12134,6.0,0.0,6.0
323,282.0,2.0,284.0
7063,226.0,0.0,226.0
5686,504.0,0.0,504.0
10740,58.0,0.0,58.0
9460,880.0,0.0,880.0
290,435.0,0.0,435.0
9956,104.0,0.0,104.0
2642,490.0,0.0,490.0
10342,512.0,0.0,512.0
11871,286.0,0.0,286.0
11348,97.0,0.0,97.0
11814,94.0,0.0,94.0
11721,172.0,0.0,172.0
11988,4.0,0.0,4.0
8901,466.0,31.0,497.0
11325,237.0,0.0,237.0
9019,179.0,0.0,179.0
1535,1292.0,0.0,1292.0
9172,212.0,0.0,212.0
1170,591.0,0.0,591.0
