alliance_name,density,reciprocity
alliance2,0.01269956458635704,0.34285714285714286
alliance4,0.0,0.0
alliance5,0.0035067212156633548,0.0
alliance8,0.014112903225806451,1.0
alliance9,0.0069387755102040816,0.5882352941176471
alliance10,0.0,0.0
alliance12,0.06666666666666667,1.0
alliance16,0.004878048780487805,0.75
alliance23,0.00404040404040404,0.75
alliance24,0.0027752081406105457,0.3333333333333333
alliance28,0.03019607843137255,0.8571428571428571
alliance30,0.0,0.0
alliance31,0.0989010989010989,0.8888888888888888
alliance35,0.0,0.0
alliance36,0.00975975975975976,0.9230769230769231
alliance38,0.0032144944476914087,0.7272727272727273
alliance42,0.0010570824524312897,0.0
alliance43,0.01636469900642899,0.9642857142857143
alliance44,0.015977443609022556,0.47058823529411764
alliance45,0.01282051282051282,0.2222222222222222
alliance51,0.003770739064856712,0.8
alliance54,0.0,0.0
alliance57,0.004897959183673469,1.0
alliance59,0.007051282051282051,0.7272727272727273
alliance73,0.019110275689223057,0.5573770491803278
alliance81,0.004329004329004329,1.0
alliance82,0.0026455026455026454,0.0
alliance83,0.00641025641025641,0.0
alliance84,0.015,0.0
alliance103,0.010889292196007259,0.5555555555555556
alliance108,0.0,0.0
alliance117,0.01403061224489796,0.9090909090909091
alliance123,0.009783368273934312,0.9285714285714286
alliance135,0.0,0.0
alliance137,0.0011494252873563218,0.0
alliance142,0.003676470588235294,0.0
alliance144,0.010582010582010581,0.75
alliance146,0.0025210084033613447,0.0
alliance147,0.013574660633484163,0.9444444444444444
alliance152,0.014478114478114479,0.9767441860465116
alliance164,0.007389162561576354,1.0
alliance185,0.011111111111111112,0.0
alliance186,0.00821256038647343,0.8235294117647058
alliance199,0.00975975975975976,0.3076923076923077
alliance235,0.0,0.0
alliance254,0.0,0.0
alliance287,0.01282051282051282,0.0
alliance290,0.1282051282051282,0.2
alliance305,0.08333333333333333,0.5454545454545454
alliance306,0.0,0.0
alliance312,0.0033738191632928477,0.8
alliance316,0.00641025641025641,0.0
