day,zero_percentage
1.0,0.2361111111111111
2.0,0.22058823529411764
3.0,0.22388059701492538
4.0,0.2647058823529412
5.0,0.26865671641791045
6.0,0.2727272727272727
7.0,0.1935483870967742
8.0,0.19672131147540983
9.0,0.2542372881355932
10.0,0.24561403508771928
11.0,0.19642857142857142
12.0,0.23214285714285715
13.0,0.23214285714285715
14.0,0.2037037037037037
15.0,0.21153846153846154
16.0,0.23076923076923078
17.0,0.21568627450980393
18.0,0.23529411764705882
19.0,0.28
20.0,0.23529411764705882
21.0,0.24
22.0,0.2653061224489796
23.0,0.19607843137254902
24.0,0.18
25.0,0.19607843137254902
26.0,0.20754716981132076
27.0,0.22641509433962265
28.0,0.19230769230769232
29.0,0.17647058823529413
30.0,0.20408163265306123
