alliance_name,density,reciprocity
alliance2,0.010064935064935065,0.25806451612903225
alliance4,0.0,0.0
alliance5,0.005084745762711864,0.3333333333333333
alliance8,0.014285714285714285,0.7727272727272727
alliance9,0.0030303030303030303,0.2222222222222222
alliance10,0.0,0.0
alliance12,0.03333333333333333,0.6666666666666666
alliance16,0.010522496371552975,0.3448275862068966
alliance23,0.012195121951219513,0.6666666666666666
alliance24,0.01088534107402032,0.2
alliance28,0.027777777777777776,0.8363636363636363
alliance30,0.0036231884057971015,0.0
alliance31,0.01904761904761905,1.0
alliance35,0.0,0.0
alliance36,0.009433962264150943,0.6666666666666666
alliance38,0.0069570477918935265,0.8695652173913043
alliance42,0.005490196078431373,0.5714285714285714
alliance43,0.022598870056497175,0.575
alliance44,0.011299435028248588,0.85
alliance45,0.021839080459770115,0.631578947368421
alliance51,0.004524886877828055,1.0
alliance54,0.0,0.0
alliance57,0.007164404223227752,0.9473684210526315
alliance59,0.008710801393728223,0.8
alliance69,0.007352941176470588,1.0
alliance73,0.015124016938898971,0.88
alliance81,0.005928853754940711,0.0
alliance82,0.006349206349206349,1.0
alliance83,0.007352941176470588,1.0
alliance84,0.007575757575757576,0.75
alliance103,0.009981851179673321,0.30303030303030304
alliance108,0.0,0.0
alliance117,0.010629251700680272,0.88
alliance123,0.008417508417508417,0.64
alliance135,0.0,0.0
alliance137,0.0,0.0
alliance138,0.0,0.0
alliance142,0.004166666666666667,0.0
alliance144,0.004301075268817204,0.0
alliance146,0.008021390374331552,0.0
alliance147,0.007982583454281567,0.6363636363636364
alliance152,0.009764309764309764,0.9655172413793104
alliance164,0.0,0.0
alliance185,0.004166666666666667,0.0
alliance186,0.011111111111111112,0.8695652173913043
alliance190,0.010025062656641603,0.875
alliance199,0.008258258258258258,0.0
alliance208,0.0,0.0
alliance235,0.005494505494505495,0.0
alliance254,0.0,0.0
alliance265,0.09848484848484848,0.7692307692307693
