node,in-degree,out-degree,edge-count
3586,107,0,107
11430,12,0,12
4981,249,0,249
3111,133,0,133
66,132,0,132
10834,44,0,44
4319,106,0,106
3917,362,0,362
3666,51,0,51
5162,532,0,532
11809,29,0,29
6648,88,0,88
2134,77,0,77
3664,177,0,177
11710,27,0,27
4025,135,0,135
364,78,0,78
6288,80,0,80
395,140,0,140
3673,135,0,135
3806,521,0,521
9958,139,0,139
10787,27,0,27
4269,891,0,891
11348,97,0,97
679,113,0,113
170,111,0,111
2205,147,0,147
9604,37,0,37
1709,123,0,123
3440,130,0,130
7354,107,0,107
9727,66,0,66
10617,72,0,72
3351,403,0,403
11488,117,0,117
4466,54,0,54
1420,82,0,82
1126,99,0,99
1676,62,0,62
1441,252,0,252
612,126,0,126
7714,810,0,810
8012,73,0,73
11675,96,0,96
5564,84,0,84
10037,37,0,37
6039,211,0,211
11086,31,0,31
6659,114,0,114
896,71,0,71
1311,85,0,85
5259,58,0,58
478,340,0,340
6968,121,0,121
754,92,0,92
8871,71,0,71
5711,55,0,55
11598,16,0,16
10851,45,0,45
8218,40,0,40
5473,371,0,371
9172,212,0,212
2889,105,0,105
551,126,0,126
1617,127,0,127
5960,42,0,42
7895,66,0,66
1844,161,0,161
1631,147,0,147
6073,72,0,72
5509,72,0,72
901,62,0,62
5226,123,0,123
7562,141,0,141
11,69,0,69
237,101,0,101
9793,145,0,145
3646,96,0,96
1343,194,0,194
11549,15,0,15
11550,16,0,16
11323,42,0,42
10128,49,0,49
9957,127,0,127
5588,81,0,81
1111,123,0,123
157,98,0,98
11887,26,0,26
4041,1314,0,1314
152,140,0,140
242,178,0,178
7326,51,0,51
8509,93,0,93
3746,83,0,83
10318,32,0,32
11175,39,0,39
11457,72,0,72
9259,70,0,70
10853,19,0,19
8243,37,0,37
1002,87,0,87
9088,63,0,63
8202,28,0,28
441,134,0,134
11688,17,0,17
11888,55,0,55
841,53,0,53
11368,15,0,15
9258,66,0,66
11216,80,0,80
10257,55,0,55
11548,15,0,15
2936,23,0,23
11483,40,0,40
10743,32,0,32
10740,58,0,58
11731,31,0,31
1941,74,0,74
5624,52,0,52
10534,44,0,44
3571,62,0,62
10237,16,0,16
8729,52,0,52
11002,31,0,31
11040,28,0,28
11585,14,0,14
10997,26,0,26
11131,11,0,11
11790,22,0,22
4187,66,0,66
11681,115,0,115
3729,89,0,89
6625,58,0,58
11551,13,0,13
6484,51,0,51
11540,36,0,36
7545,119,0,119
11501,19,0,19
11679,25,0,25
11224,18,0,18
11826,28,0,28
11791,14,0,14
11639,22,0,22
11344,29,0,29
11625,12,0,12
2909,27,13794,13821
2326,118,0,118
11873,28,0,28
11844,21,0,21
1830,29,0,29
909,188,0,188
9691,42,0,42
3603,54,0,54
872,190,0,190
2429,45,0,45
11876,23,0,23
11815,15,0,15
11451,12,0,12
7484,343,0,343
8079,401,16,417
8901,466,31,497
11921,101,10,111
4245,52,0,52
10632,44,16,60
4519,30,0,30
9492,66,0,66
11576,30,9,39
11173,48,1,49
11927,86,2,88
10798,83,49,132
6320,112,0,112
11512,38,0,38
4298,88,70,158
11381,96,27,123
10483,195,0,195
9742,187,0,187
12080,153,0,153
11699,56,0,56
12100,90,0,90
8383,161,0,161
2557,542,58,600
11746,246,0,246
4406,5,580,585
3069,8,0,8
2679,929,0,929
7427,94,1,95
7741,98,1,99
11909,1,5,6
7698,68,5,73
2078,167,0,167
9104,2,98,100
11987,207,5,212
12117,109,0,109
2970,360,0,360
3821,46,0,46
2850,35,340,375
7521,747,0,747
11156,17,3,20
7980,12,3,15
2027,824,0,824
2263,1200,0,1200
12158,109,0,109
10894,12,3,15
1112,287,0,287
1170,592,0,592
2318,334,0,334
12060,64,106,170
11242,165,5,170
10224,264,0,264
59,62,0,62
5151,373,0,373
11814,94,0,94
669,84,60,144
2298,250,0,250
9032,219,0,219
10390,158,6,164
290,435,0,435
7071,128,13,141
9462,5,118,123
1971,445,0,445
9956,104,0,104
11088,56,0,56
5576,104,0,104
2414,7,192,199
2566,96,369,465
803,40,19,59
2061,374,0,374
5992,352,0,352
11644,36,14,50
1584,121,0,121
11998,19,0,19
9945,92,2,94
9009,51,4,55
11948,49,0,49
193,203,27,230
8807,232,0,232
1384,1068,0,1068
2454,5,136,141
7952,239,0,239
4507,135,0,135
11912,27,31,58
6088,58,110,168
7113,1,23,24
1961,49,117,166
2425,235,0,235
11074,11,12,23
3462,388,0,388
5399,237,0,237
2295,290,0,290
1633,116,0,116
2987,1065,0,1065
12616,15,0,15
12618,2,0,2
12483,30,0,30
12586,6,0,6
12560,3,0,3
12218,135,0,135
11206,77,0,77
2131,24,98,122
3098,170,4,174
12567,5,0,5
12195,35,0,35
12316,146,0,146
12369,24,0,24
12435,6,8,14
12531,4,0,4
3238,9,0,9
2728,584,0,584
12390,15,0,15
12397,25,2,27
12455,32,0,32
12545,23,0,23
12437,9,0,9
11878,35,0,35
12564,2,0,2
12377,170,0,170
12286,48,0,48
12516,3,196,199
12538,14,0,14
12599,6,0,6
2887,2,81,83
12611,1,0,1
12532,31,0,31
2084,31,0,31
440,156,8,164
2640,593,0,593
846,43,0,43
7476,134,0,134
641,133,0,133
3175,43,156,199
8925,91,0,91
11827,3,0,3
1865,104,0,104
11434,22,0,22
11884,16,0,16
3564,62,0,62
929,158,0,158
11187,13,0,13
9959,106,0,106
2866,253,0,253
1755,80,98,178
6095,106,0,106
2900,146,0,146
3641,83,0,83
1993,232,156,388
10976,41,0,41
11367,75,0,75
11318,71,60,131
8313,33,0,33
4825,183,19,202
10682,21,2,23
9272,491,0,491
9541,127,131,258
11274,12,9,21
4365,209,0,209
12174,143,53,196
1071,4,183,187
2493,36,50,86
4510,6,889,895
3895,30,284,314
11125,5,558,563
2577,35,19,54
8084,12,331,343
4937,402,0,402
4154,2,217,219
763,31,441,472
8162,27,69,96
1537,1,331,332
1106,38,0,38
11764,10,0,10
9146,29,0,29
11647,522,1,523
5024,57,12,69
1613,639,0,639
9019,179,0,179
5755,2,0,2
7948,20,0,20
11454,166,1,167
9517,18,1,19
11524,139,2,141
8189,24,0,24
11848,14,71,85
11071,76,0,76
1697,240,1,241
11562,3,1,4
5094,58,0,58
11771,4,0,4
11234,59,35,94
11880,262,1,263
5144,40,0,40
6354,35,176,211
12165,12,9,21
2043,32,26,58
3919,111,3,114
5119,103,0,103
1959,111,0,111
1550,884,0,884
4048,114,0,114
7172,565,0,565
11636,129,11,140
7153,114,19,133
6181,183,6,189
10657,62,48,110
2315,1073,4,1077
4783,26,1,27
1256,99,0,99
11988,4,0,4
12134,6,0,6
12103,1,0,1
