node,message_in,message_out,trade_in,trade_out
12309,5,5,0,0
9257,9,6,1,2
5524,5,9,0,3
11962,5,8,0,0
9959,1,0,0,0
12017,1,1,34,32
11244,1,0,0,0
11647,2,0,0,4
1911,20,14,29,22
9187,0,0,4,14
12195,8,12,12,0
11008,0,0,1,0
10906,0,1,0,0
4160,1,0,3,0
9667,7,4,1,2
12505,1,0,0,0
12393,1,1,0,0
11996,1,2,0,0
12257,4,5,0,0
8965,0,0,7,1
11889,2,1,0,0
4228,1,0,0,0
11545,0,3,0,0
6878,0,0,2,2
1808,22,21,0,0
12423,0,0,0,1
11452,0,0,21,25
10070,5,8,6,5
3890,2,0,0,0
11602,2,1,51,51
7583,1,0,0,0
12037,14,11,5,1
12456,0,1,0,0
12179,0,2,0,0
11596,77,72,137,129
12229,2,2,2,0
12071,2,1,53,32
9953,1,0,0,0
12711,0,0,3,0
3628,1,0,9,12
12484,0,1,16,1
12293,0,0,2,0
12286,2,3,1,0
3504,1,0,0,0
11304,1,0,0,0
10751,2,3,4,4
1570,1,0,0,0
3004,1,2,32,172
5281,0,0,3,3
12361,1,1,0,0
10633,2,0,4,4
12124,0,3,0,0
9857,4,5,1,0
9318,0,2,0,0
12160,13,22,4,2
12669,0,1,2,1
12485,9,24,0,0
10792,0,0,0,4
12432,0,1,0,0
11315,2,1,0,0
9097,1,0,53,50
12604,2,4,4,0
11592,0,1,1,1
1633,0,0,25,19
10950,0,0,1,0
12664,0,1,0,0
5672,0,0,3,0
11806,2,4,1,1
9832,2,0,0,0
11099,2,7,0,20
10114,16,17,23,28
12295,1,0,0,0
10037,2,0,0,0
11206,1,0,0,0
7500,1,0,0,0
9664,16,21,16,1
11768,2,0,0,0
7002,0,0,1,0
11850,2,4,0,0
12588,5,8,10,0
12201,0,0,0,2
12618,0,0,0,6
7835,1,2,0,0
12200,10,17,8,0
12278,0,1,0,0
9152,6,6,0,0
12597,8,8,2,2
12223,1,1,0,0
10364,1,0,0,0
10823,1,1,72,27
12395,3,3,0,0
999,2,0,0,0
11634,30,28,35,4
10678,0,0,1,1
11730,7,0,0,0
12429,2,2,0,0
12098,1,2,3,3
11744,0,0,0,10
10544,0,0,1,0
10520,0,3,0,0
4594,16,14,1,6
11650,1,3,0,0
11454,0,0,12,26
6323,0,0,25,7
8752,9,6,0,2
12300,1,2,0,0
12614,0,1,9,0
11067,6,7,5,7
5660,1,0,0,0
12702,3,4,0,0
11265,5,3,0,6
12239,1,0,0,0
12543,2,3,0,0
2908,1,0,0,1
1370,0,0,12,12
11580,1,4,0,0
11235,2,0,0,0
9427,0,0,7,0
9597,3,1,1,0
7962,3,5,0,0
5594,0,0,1,0
9200,10,8,5,8
12562,1,0,15,3
12233,28,30,66,14
12444,3,3,0,0
8345,1,0,0,0
10360,1,0,0,0
12430,0,0,0,1
139,1,1,0,0
12010,0,2,2,14
2140,11,7,9,8
10925,12,15,3,0
11405,2,0,0,0
11743,3,0,0,0
12080,0,0,1,0
5180,1,0,0,0
12005,10,16,0,0
6688,9,10,48,35
12267,0,1,0,0
12476,0,0,18,1
12567,1,2,16,6
1067,1,0,0,0
11698,1,3,0,0
