node,betweenness,PageRank
5514,0.0015432701048102675,0.0009780421004705765
4338,0.0043302302073601326,0.0012542498510711266
800,0.0016164251319825097,0.0025669841726519674
1633,4.853307016949947e-05,0.00015025338360605712
8235,0.0014291799828356213,0.001085602151839707
3725,0.002156481139261834,0.0016960545553617822
296,0.005921001215028534,0.002271313927306885
5536,8.252689961829353e-05,0.00032029196552402217
5028,0.002806370482879117,0.0015086010637871388
3576,0.00046994976582125927,0.001070700210689019
2414,0.0007903805591553975,0.0005484172100750204
31,0.007094864498096906,0.003133575367401364
1879,0.0014096060072688317,0.0008735479231831163
5578,0.0001233700439168114,0.0002056173861686997
9102,0.003427040375461439,0.0009566597262956611
5140,0.0007225298441714935,0.0005371004986827486
628,0.000867324514534916,0.00040414531059492485
5000,0.0035555514929436266,0.002150730293213589
4460,0.0003579255689936633,0.00020570705838036588
151,0.004545459873962869,0.001673209904485167
6222,0.005739516032772721,0.0022556018579141797
10935,0.0021802416378582158,0.0013534564697730812
3218,0.001403321546282397,0.0007497205840126077
1560,0.004984203586176085,0.0008958534930019882
6587,0.008429084369306405,0.003108169814436694
2650,0.0002062492535864954,0.00033024493275409693
1752,4.306538342385527e-06,0.00013696624978131925
2503,0.001260599602008264,0.0007463439623791367
2959,0.0014777831149009857,0.001045089350934553
11892,0.001104545420516026,0.00032812416618813455
7035,0.002611870457666417,0.0007310414637323256
140,0.0033024558708965126,0.003321688635476313
5187,0.0008065205231258114,0.0003829125140644047
10646,0.002766866501167334,0.0005676499766518575
4546,0.003469576789288596,0.0010971102391886406
932,0.005427376312811436,0.0010021032250241335
2478,0.0025351293312685973,0.0018178906903711899
8561,4.495115734454048e-05,9.308463635757741e-05
504,0.0017031097453810299,0.001275052370826168
9498,0.003116781470934304,0.000585489620392229
7434,0.0001061589228282199,0.00022937315270553946
7692,0.0017292009612123753,0.0007672615739706232
4552,0.0026049581654853083,0.0008939836193306791
12071,0.0022435407294471832,0.0004517714460903533
552,0.0006818997590221079,0.0001479721333589401
7446,0.002140349317353148,0.001190958269227486
2377,0.0027705278096841184,0.0017430947289610139
3924,0.0033310819280970108,0.0012852803696498302
7830,0.00014657444740130815,0.00024026699486302691
4522,0.0006068135668815036,0.0005243060972235093
4633,0.00480516149898062,0.0017201145576872794
9504,0.0004376152325994339,0.0001608063163539767
7176,0.0024419305656755404,0.0012725303413351726
6877,0.0008253560471398873,0.0004718766657964429
391,0.005780174656177837,0.0033929388722033988
4312,0.00047572178083202216,0.0007075757579775691
