day,density,reciprocity
1.0,0.019661222020568664,0.5230769230769231
2.0,0.014903565166569257,0.8627450980392157
3.0,0.023670368205727644,0.7901234567901234
4.0,0.019579193454120396,0.6268656716417911
5.0,0.020748100526008183,0.704225352112676
6.0,0.008771929824561403,0.6896551724137931
7.0,0.017241379310344827,0.7368421052631579
8.0,0.014821536600120993,0.8979591836734694
9.0,0.017241379310344827,0.8070175438596491
10.0,0.01058681185722928,0.8
11.0,0.019661222020568664,0.8615384615384616
12.0,0.01636469900642899,0.9285714285714286
13.0,0.017533606078316773,0.7666666666666667
14.0,0.010734463276836158,0.8947368421052632
15.0,0.0211864406779661,0.8
16.0,0.015819209039548022,0.8571428571428571
17.0,0.022598870056497175,0.575
18.0,0.019491525423728815,0.6086956521739131
19.0,0.01751412429378531,0.5483870967741935
20.0,0.015195791934541203,0.9230769230769231
21.0,0.014903565166569257,0.9019607843137255
22.0,0.017846339987900785,0.9830508474576272
23.0,0.019661222020568664,0.9538461538461539
24.0,0.018148820326678767,0.9666666666666667
25.0,0.0205686630369026,0.9411764705882353
26.0,0.02601330913490623,0.9767441860465116
27.0,0.028930450029222676,0.8888888888888888
28.0,0.01636469900642899,0.9642857142857143
29.0,0.0070134424313267095,0.75
30.0,0.009074410163339383,0.9333333333333333
