node,in-degree-mean,in-degree-std,out-degree-mean,out-degree-std,edge-count-mean,edge-count-std,closeness-mean,closeness-std,betweenness-mean,betweenness-std,pagerank-mean,pagerank-std
3621,8.333333333333334,7.53264500296813,8.851851851851851,7.585091145250387,17.185185185185187,15.075211532296462,0.10487485487461334,0.06804019328588964,0.017488378246595628,0.021712952283470727,0.038234027924849735,0.02688525019690173
5301,0.0,0.0,0.2,0.6,0.2,0.6,0.0,0.0,0.0,0.0,0.00515429155649375,0.0009212793728109338
2141,0.06666666666666667,0.24944382578492943,0.0,0.0,0.06666666666666667,0.24944382578492943,0.0015594541910331384,0.005834943293214723,0.0,0.0,0.005602587117926978,0.0025702602258739224
9700,6.421052631578948,6.1070777702569625,6.421052631578948,5.806673016758021,12.842105263157896,11.833330082061638,0.09531698543415479,0.06527099076564866,0.0123427406761698,0.012901634282748004,0.027096182592574892,0.020391134725499777
3539,0.23333333333333334,0.5587684871413403,0.4,0.879393730551528,0.6333333333333333,1.2775845264491201,0.01398319923246604,0.03311324766661746,0.0004984089875965972,0.002684014539564732,0.006311518259961266,0.003131349570792857
7428,1.4333333333333333,2.5124136248281697,1.4333333333333333,2.4991109530302085,2.8666666666666667,5.004886501099589,0.04058496449116241,0.059747059609491046,0.0034914898820855634,0.012601483716514409,0.01033923989584454,0.010146824301228997
6091,1.8666666666666667,3.528298299306464,4.4,4.079215610874228,6.266666666666667,6.747509828735999,0.0446984946658607,0.06843122123064611,0.007915580683314234,0.016601845527004163,0.013861489015476913,0.01583780756557982
5670,5.266666666666667,6.7573827938205655,3.7333333333333334,5.761558431149991,9.0,10.881176406988354,0.09448334599439762,0.07430741902984613,0.00910084921945099,0.01610772830316444,0.02018672169158774,0.016613045825800938
1673,3.1333333333333333,4.063933507767512,2.1,3.289883483245772,5.233333333333333,6.68671984026714,0.05550562963391906,0.06018858300921629,0.00789626826580055,0.01997225471543601,0.016832944712064778,0.01687974080463
1376,1.6666666666666667,3.448026810929533,1.2333333333333334,1.6868774571839995,2.9,4.315476026272575,0.03875973267934796,0.05980191542478616,0.0028549603113570015,0.012006345091206846,0.011694270705727329,0.010276245028917578
2251,0.4,0.8406346808612328,1.0333333333333334,1.8162843634433705,1.4333333333333333,2.2610223842815493,0.022579433279416108,0.047800151165972464,0.00024198427102238356,0.001303125180189838,0.00853197981622753,0.00774704386698297
51,0.0,0.0,1.6666666666666667,2.357022603955158,1.6666666666666667,2.357022603955158,0.0,0.0,0.0,0.0,0.004337341056728443,0.00036566811804788276
9521,0.7333333333333333,1.9136933459209762,0.06666666666666667,0.3590109871423002,0.8,2.119748412744619,0.009564777327935222,0.025758439105371234,4.1771094402673345e-05,0.0002249442275327696,0.00830184698564922,0.01001371178876982
2917,0.3,0.6403124237432849,2.0,3.3763886032268267,2.3,3.407345007480164,0.006291591046581972,0.014037695066237697,0.0,0.0,0.00995032800189365,0.01003042033221466
4323,0.7931034482758621,1.788455514467578,1.1379310344827587,2.2395217767075195,1.9310344827586208,3.8410759491432604,0.018115118929147966,0.04326060546844948,0.0008742053040661066,0.0030427161567935057,0.008393235058710551,0.00831622192008974
5220,8.0,3.559026084010437,7.666666666666667,3.299831645537222,15.666666666666666,6.847546194724712,0.054102128015767026,0.05191523170489962,0.0,0.0,0.0160507009374887,0.003155766278504962
4657,3.5925925925925926,6.3202160022819385,2.740740740740741,6.015982371628726,6.333333333333333,11.498792207106895,0.055328952020893135,0.07062700352536715,0.005286007353383567,0.01525022386585573,0.017451036261885072,0.016842142745859514
5513,0.13333333333333333,0.49888765156985887,0.23333333333333334,0.6674994798166928,0.36666666666666664,1.139688066485251,0.006879510578291283,0.025823533073021643,0.0001613228473482557,0.0008687501201265584,0.005700353036911469,0.0020156880425454
2855,0.26666666666666666,0.9637888196533974,0.5666666666666667,1.1742609969205688,0.8333333333333334,2.0013884069704098,0.006949555489716837,0.02577111262767252,0.0,0.0,0.006077616937904338,0.0032302275062519865
7255,1.0666666666666667,1.611072796479276,0.7666666666666667,1.3585122581543223,1.8333333333333333,2.7698776547389636,0.04151968320473129,0.05883649334131026,0.0,0.0,0.009319886932545188,0.006617215644577556
3846,1.2666666666666666,3.5677568427359074,1.4,3.7912179221634483,2.6666666666666665,7.349981103528242,0.03635777854235012,0.06528410805028625,0.002269969683608984,0.0121681126636991,0.011831642154145804,0.025864475702283923
4938,0.7333333333333333,1.2364824660660938,1.3666666666666667,1.5595583420386112,2.1,2.5344295873693814,0.039568956049373764,0.0618971750439906,0.0021044589442956044,0.007894815440632207,0.008646154018342466,0.006277333281547246
2049,1.0952380952380953,2.543053318632132,1.2857142857142858,2.830831228133685,2.380952380952381,5.367239163278236,0.003327283726557774,0.00685960931051229,0.0,0.0,0.011174471548192818,0.013154342218115391
7005,1.6,3.5080858978460987,1.7,3.4655446902326914,3.3,6.962518701351306,0.03792096800948716,0.06868338217476944,0.008679503242162814,0.032749524187853804,0.012323648457696446,0.014374111663146404
4799,5.333333333333333,5.798467230417209,5.933333333333334,6.33473668662628,11.266666666666667,12.052477845747,0.07074097587275305,0.06793151197274863,0.011755824719926969,0.018206470972281133,0.03376488033139169,0.02842694105075256
5351,16.9,13.792147524346355,17.233333333333334,14.139031870047619,34.13333333333333,27.664337251334175,0.1198734572479109,0.07152702001694938,0.02473802279173484,0.03365470266551626,0.06767046480626258,0.04543639805817981
3218,2.4,3.620313061969457,3.533333333333333,3.7392809766347086,5.933333333333334,7.206170195664886,0.07049171013023948,0.068917567943731,0.008019193626640796,0.013504867169262054,0.01726417837912029,0.01841912678757692
3645,4.533333333333333,6.926920110858955,4.2,6.881860213634103,8.733333333333333,13.659998373190078,0.06614932256441186,0.07114642897225158,0.009442202086162222,0.021024583435432516,0.02235930186060214,0.023150001003468396
5458,1.8666666666666667,2.825282680055612,1.9666666666666666,2.6643740144523416,3.8333333333333335,4.940197926759166,0.03781252617737625,0.054646935502168974,0.005740584699296133,0.01892957257080935,0.009970952386742764,0.006275861233171287
1688,2.3666666666666667,4.3625935201691926,2.8333333333333335,4.524623986832743,5.2,8.75747299929228,0.05185696422195976,0.06775455141382876,0.00869950991186649,0.01989520475480083,0.019368479421769048,0.022198021752466764
6193,16.633333333333333,14.636673878385837,13.766666666666667,13.539284405840002,30.4,26.98098095572756,0.13307597383712447,0.06695034446085765,0.02757511157675343,0.03285176251346124,0.05616683648986699,0.031864390638302285
4633,4.266666666666667,4.992883824894076,5.566666666666666,5.981545693956446,9.833333333333334,10.564353059016701,0.10740348625518309,0.062478983855229375,0.012980971305300721,0.01775094901401718,0.023922493471758375,0.020270923107370168
5018,0.03333333333333333,0.1795054935711501,0.5666666666666667,1.3085190950927015,0.6,1.3316656236958786,0.0015176005747126436,0.008172529206229627,0.0,0.0,0.00622141170514524,0.005702274855127111
6164,1.5,2.0615528128088303,0.25,0.4330127018922193,1.75,2.0463381929681126,0.04234279918864098,0.06377518315069018,0.0,0.0,0.008003594782678241,0.0026624653818813995
5263,2.1666666666666665,2.989797466198821,2.466666666666667,3.0847294136691397,4.633333333333334,6.0303860204431,0.058846251868840176,0.07150777042345523,0.004526939304231746,0.011196099069932346,0.017415639614607615,0.017389043047659376
9861,0.06666666666666667,0.24944382578492943,0.13333333333333333,0.42687494916218993,0.2,0.6531972647421806,0.007329301465840114,0.03207258490661196,0.0,0.0,0.006311862085595179,0.005704137954785636
7889,2.3684210526315788,4.792653658034615,1.368421052631579,2.298982070299111,3.736842105263158,5.692489098185784,0.0405371818588996,0.06274316522400838,0.0007238211496627385,0.0030027414630371843,0.012674058877750671,0.012140151389516584
3747,1.2666666666666666,2.489087293679263,1.1,2.2412793965352322,2.3666666666666667,4.7221699343510375,0.02119868020018217,0.0465957376445328,0.00298591305850834,0.010651527398132986,0.012378116629464784,0.012748790601257614
3522,0.43333333333333335,2.3335714164249515,0.5666666666666667,1.2565384549980507,1.0,2.556038601690775,0.009203853955375254,0.04956427041049252,0.0,0.0,0.00629376138019419,0.006181652701194141
552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004337341056728443,0.00036566811804788276
4867,0.45,0.8046738469715541,0.9,1.1789826122551597,1.35,1.7109938632268673,0.033389746680354666,0.059743900491609866,0.0008185874168179068,0.003116641104372227,0.008753670091411059,0.007674079008033472
1121,1.7407407407407407,2.900735444326114,1.7407407407407407,2.900735444326114,3.4814814814814814,5.801470888652228,0.025407766159490735,0.038609021042820074,0.0005250682716922834,0.0018615680465035016,0.013641867542333095,0.01558860443544717
3302,0.3,0.6403124237432848,0.8666666666666667,1.687865186822955,1.1666666666666667,2.098941532190822,0.014974660678656108,0.03561985778281949,0.0012099213551119178,0.006515625900949188,0.007456589061451284,0.006616239381098633
477,0.0,0.0,4.0,2.943920288775949,4.0,2.943920288775949,0.0,0.0,0.0,0.0,0.004337341056728443,0.00036566811804788276
5563,0.16666666666666666,0.6368324391514268,0.5666666666666667,1.0857664983268218,0.7333333333333333,1.5040685563571303,0.004631050213122172,0.01929984029922725,0.0,0.0,0.007066285894943367,0.00868207060262756
4118,0.5294117647058824,1.5384349212496493,0.7647058823529411,1.9562693115665752,1.2941176470588236,3.4770627543839177,0.008043740478016597,0.028219778872952177,0.0002922267679719462,0.0011689070718877848,0.00659308968004875,0.0036169564736673395
6129,2.1333333333333333,2.4997777679003566,3.0,3.4737107920301407,5.133333333333334,5.487764167268447,0.03779027004400745,0.050691200889023756,0.0018411873244381168,0.006302210588653448,0.010581619826276478,0.007080910179132937
9293,0.16666666666666666,0.5821416398857662,1.0333333333333334,2.344970978261541,1.2,2.4413111231467406,0.007837648177165795,0.03243108622397061,0.00014706906154274575,0.0007919911344382931,0.0064116489391937035,0.004759984759213336
5201,0.3333333333333333,0.8299933065325821,0.3333333333333333,0.8299933065325821,0.6666666666666666,1.6599866130651642,0.013613596620828623,0.0346952738097252,0.0,0.0,0.007318699640909182,0.006792359903798692
3957,0.26666666666666666,0.7272474743090477,0.6,1.2,0.8666666666666667,1.6679994670929073,0.00840181739722107,0.027006094495183767,0.0004335551522484372,0.0016598488968261821,0.007233474508468902,0.00574719142913203
7648,2.111111111111111,3.2356043952357862,2.1481481481481484,3.3188987877362743,4.2592592592592595,6.512623597135782,0.05603279907026719,0.0698275318162189,0.005073286447931418,0.01214912014003634,0.01304612879772888,0.011015544890160246
3134,7.1,19.196093352554836,1.1,3.3699653806332583,8.2,21.43579560765901,0.058175658941158045,0.11752204051389387,0.009424798480713766,0.027960717403904302,0.0239092589006236,0.04567896982524109
6730,2.3666666666666667,4.020641187118735,3.033333333333333,4.989878644705589,5.4,8.860398787112612,0.04801849677847532,0.06830806419312495,0.012515008053935735,0.026434675102468993,0.018224343620558088,0.01870229491281836
7756,7.766666666666667,6.775855829503918,7.6,7.977468270071652,15.366666666666667,14.604755694255513,0.10293389590518859,0.06393792825158554,0.020012237962267185,0.027094764550997054,0.038189989927340004,0.03405319427942702
5095,3.8333333333333335,9.726538724312753,1.6666666666666667,2.054804667656325,5.5,10.597955777727451,0.06659015481738827,0.09244428932147683,0.010442609828356852,0.026351269757105524,0.016994455580103603,0.025612126175532875
4238,2.0,0.7071067811865476,2.0,0.7071067811865476,4.0,1.4142135623730951,0.11088353281035206,0.02892096131726297,0.02151391409558379,0.030830814885442065,0.015269293845110554,0.012264579173792579
3753,0.23333333333333334,0.8034647195462634,0.4666666666666667,1.1175369742826804,0.7,1.8284784202536635,0.013631780956875816,0.04157457648710555,0.0,0.0,0.005638684478691595,0.001636322307640493
5559,6.866666666666666,8.44485379124799,7.0,8.48920883632077,13.866666666666667,16.924800999978963,0.08417046734644609,0.06879139874496894,0.01072514351337139,0.01602761418276698,0.03169872423640287,0.023585390381696245
