node,in-degree,out-degree,edge-count,closeness,betweenness,pagerank
3621,3.0,3.0,6.0,0.04519774011299435,0.006721215663354763,0.02296286416210509
3218,2.0,4.0,6.0,0.09984591679506934,0.0017046561465030195,0.005609867265075596
3645,0.0,0.0,0.0,0.0,0.0,0.004145599281332526
5458,0.0,0.0,0.0,0.0,0.0,0.004145599281332526
1688,0.0,0.0,0.0,0.0,0.0,0.004145599281332526
5301,0.0,2.0,2.0,0.0,0.0,0.004145599281332526
2141,0.0,0.0,0.0,0.0,0.0,0.004145599281332526
6193,30.0,30.0,60.0,0.14451382694023193,0.06604324956165984,0.041183184643418566
4633,6.0,13.0,19.0,0.11873568483737977,0.01251704656146503,0.01119630823852829
9700,13.0,14.0,27.0,0.09190837529253246,0.028053769725306835,0.029622403960577137
4496,3.0,5.0,8.0,0.054237288135593226,0.022793687901811806,0.024895615891687987
5018,0.0,3.0,3.0,0.0,0.0,0.004145599281332526
5263,4.0,7.0,11.0,0.1861534041941971,0.014319111630625365,0.08249056395916836
9861,0.0,0.0,0.0,0.0,0.0,0.004145599281332526
3539,0.0,0.0,0.0,0.0,0.0,0.004145599281332526
7428,6.0,6.0,12.0,0.01694915254237288,0.0,0.014818688953360075
7889,2.0,7.0,9.0,0.01694915254237288,0.0002922267679719462,0.006340409393569616
3747,0.0,0.0,0.0,0.0,0.0,0.004145599281332526
3522,0.0,2.0,2.0,0.0,0.0,0.004145599281332526
6091,1.0,2.0,3.0,0.14356929212362912,0.0002922267679719462,0.014162331022423556
5670,24.0,0.0,24.0,0.258272800645682,0.0,0.03739520686912064
1673,0.0,7.0,7.0,0.0,0.0,0.004145599281332526
4867,0.0,3.0,3.0,0.0,0.0,0.004145599281332526
1376,0.0,1.0,1.0,0.0,0.0,0.004145599281332526
2251,0.0,7.0,7.0,0.0,0.0,0.004145599281332526
1121,0.0,0.0,0.0,0.0,0.0,0.004145599281332526
3302,2.0,2.0,4.0,0.030131826741996232,0.0,0.01715957050766495
5563,0.0,4.0,4.0,0.0,0.0,0.004145599281332526
4118,6.0,8.0,14.0,0.01694915254237288,0.0049678550555230854,0.01674202343634188
9521,0.0,0.0,0.0,0.0,0.0,0.004145599281332526
6129,0.0,0.0,0.0,0.0,0.0,0.004145599281332526
4323,3.0,5.0,8.0,0.01694915254237288,0.0,0.006455321238076227
9293,0.0,10.0,10.0,0.0,0.0,0.004145599281332526
5201,0.0,0.0,0.0,0.0,0.0,0.004145599281332526
3957,0.0,4.0,4.0,0.0,0.0,0.004145599281332526
7648,1.0,1.0,2.0,0.07155081985314415,0.0,0.006511695848639869
4657,25.0,30.0,55.0,0.12271565192690087,0.037405026300409115,0.035226051021876655
6730,5.0,9.0,14.0,0.1978928080622996,0.10159750633157998,0.04047413117917183
5513,0.0,0.0,0.0,0.0,0.0,0.004145599281332526
3134,69.0,2.0,71.0,0.3922518159806296,0.11484511981297486,0.15548494667640692
7756,0.0,0.0,0.0,0.0,0.0,0.004145599281332526
2855,0.0,1.0,1.0,0.0,0.0,0.004145599281332526
5095,3.0,4.0,7.0,0.1381515829868884,0.07003701539060977,0.01044863978340798
3753,0.0,2.0,2.0,0.0,0.0,0.004145599281332526
5559,7.0,7.0,14.0,0.1639261320516064,0.0,0.01762388194690384
7255,0.0,0.0,0.0,0.0,0.0,0.004145599281332526
3822,0.0,0.0,0.0,0.0,0.0,0.004145599281332526
3846,0.0,0.0,0.0,0.0,0.0,0.004145599281332526
9450,6.0,6.0,12.0,0.2584247258225324,0.12166374439898693,0.17018081059510357
4938,0.0,0.0,0.0,0.0,0.0,0.004145599281332526
5681,0.0,0.0,0.0,0.0,0.0,0.004145599281332526
2049,0.0,0.0,0.0,0.0,0.0,0.004145599281332526
1558,0.0,6.0,6.0,0.0,0.0,0.004145599281332526
2292,1.0,1.0,2.0,0.03389830508474576,0.0,0.008377736634465888
4258,3.0,3.0,6.0,0.15578795528308692,0.07778102474186635,0.01401107832874739
7005,6.0,6.0,12.0,0.01694915254237288,0.0,0.011050042896275692
5028,1.0,1.0,2.0,0.03389830508474576,0.0,0.008377736634465888
4799,13.0,13.0,26.0,0.10560625814863103,0.043541788427819986,0.022727857213435607
5351,6.0,10.0,16.0,0.01694915254237288,0.0049678550555230854,0.013538166935463093
4622,8.0,8.0,16.0,0.08075772681954138,0.014611338398597311,0.02227368776187711
