node,in-degree,out-degree,edge-count,closeness,betweenness,pagerank
3621,3.0,3.0,6.0,0.13242846661775493,0.0,0.017355003757606957
3218,13.0,13.0,26.0,0.14819376026272577,0.011796733212341199,0.07049120466220675
3645,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
5458,1.0,2.0,3.0,0.06506180871828238,0.0060496067755595895,0.008582032372156611
1688,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
5301,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
2141,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
6193,10.0,10.0,20.0,0.11969496021220158,0.03145795523290986,0.03796098572281234
4633,4.0,6.0,10.0,0.13831417624521072,0.017241379310344827,0.024132640071792687
4496,2.0,2.0,4.0,0.13831417624521072,0.01058681185722928,0.01570788549020118
5018,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
5263,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
9861,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
3539,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
7428,1.0,1.0,2.0,0.11114532019704433,0.0,0.00927141082177368
7889,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
3747,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
3522,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
6091,4.0,3.0,7.0,0.15959328028293546,0.039927404718693285,0.022372408941296364
5670,3.0,1.0,4.0,0.13530734632683658,0.0,0.015313269856008723
1673,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
4867,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
1376,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
2251,1.0,1.0,2.0,0.13242846661775493,0.0,0.009588115130831423
1121,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
3302,2.0,4.0,6.0,0.13242846661775493,0.0,0.01347155944421919
5563,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
4118,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
9521,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
6129,2.0,0.0,2.0,0.059869671463480864,0.0,0.012999223380247237
4323,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
9293,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
5201,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
3957,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
7648,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
4657,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
6730,4.0,4.0,8.0,0.14819376026272577,0.029643073200241985,0.02092174376193698
5513,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
3134,2.0,0.0,2.0,0.10610079575596819,0.0,0.01254196648527098
7756,34.0,43.0,77.0,0.21462544589774077,0.09618874773139746,0.19644050743955255
2855,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
5095,4.0,4.0,8.0,0.13242846661775493,0.0,0.021238448070994724
3753,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
5559,11.0,12.0,23.0,0.16379310344827586,0.05172413793103449,0.05035639524530137
7255,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
3822,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
3846,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
9450,12.0,12.0,24.0,0.0915314401622718,0.0220810647307925,0.04233053986545749
4938,2.0,2.0,4.0,0.10373563218390804,0.0,0.014922224623578575
5681,6.0,7.0,13.0,0.07237369687249398,0.01149425287356322,0.02369402570549225
2049,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
1558,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
2292,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
4258,2.0,2.0,4.0,0.017241379310344827,0.0,0.038010204624225094
7005,0.0,0.0,0.0,0.0,0.0,0.005704670817443657
5028,3.0,3.0,6.0,0.10731272294887038,0.0012099213551119178,0.021597778732971685
4799,2.0,2.0,4.0,0.017241379310344827,0.0,0.038010204624225094
5351,13.0,4.0,17.0,0.13242846661775493,0.0,0.05618944689148462
4622,2.0,2.0,4.0,0.09879584017515051,0.0,0.01254196648527098
